epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,11931.3,1.19456,0.50905,0.82451,0.80602,0.72043,0.72926,0.41946,1.63736,0.68541,0.92746,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,12052.1,1.1881,0.50551,0.82739,0.81062,0.72356,0.73187,0.41996,1.63825,0.68663,0.92761,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,12172.2,1.18594,0.50103,0.82833,0.81587,0.72317,0.73242,0.42015,1.63903,0.68595,0.92728,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,12293,1.18159,0.50121,0.8247,0.8201,0.72477,0.73173,0.41994,1.63885,0.68502,0.92778,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,12413.3,1.18231,0.50257,0.82672,0.8188,0.72241,0.7306,0.42056,1.63789,0.68561,0.92817,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,12533.5,1.17789,0.49933,0.82293,0.81332,0.72327,0.73094,0.42087,1.63851,0.68524,0.92821,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,12654,1.16727,0.49683,0.82515,0.81213,0.72311,0.73162,0.42066,1.63828,0.68554,0.92815,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,12775,1.16439,0.49227,0.82346,0.80769,0.72487,0.73194,0.42139,1.63796,0.68525,0.92825,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,12895,1.16398,0.49332,0.8251,0.8356,0.71494,0.7331,0.42192,1.63804,0.68486,0.92892,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,13015.6,1.16014,0.49089,0.82338,0.83859,0.71473,0.73412,0.42127,1.63784,0.68464,0.92889,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,13136.3,1.15484,0.48813,0.82231,0.83808,0.71565,0.73333,0.42134,1.63744,0.68508,0.92957,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,13256.6,1.15251,0.48864,0.8227,0.8338,0.71783,0.73286,0.42149,1.63661,0.68499,0.92967,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,13399.1,1.14183,0.48548,0.8199,0.83341,0.71628,0.73196,0.42215,1.63682,0.68529,0.92975,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,13519.7,1.1412,0.48177,0.81967,0.83378,0.71629,0.73152,0.42077,1.63638,0.68518,0.92993,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,13640.1,1.13784,0.48061,0.81963,0.83403,0.71704,0.73188,0.42109,1.63706,0.68485,0.93025,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,13760.2,1.13577,0.48019,0.82047,0.83665,0.71481,0.73186,0.42065,1.63606,0.68432,0.93039,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,13880.5,1.13073,0.47858,0.81991,0.83166,0.71629,0.731,0.42049,1.63685,0.6846,0.93056,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,14001.3,1.12673,0.47959,0.81845,0.83107,0.7175,0.7314,0.42018,1.63667,0.68497,0.93068,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,14121.1,1.12533,0.47589,0.81798,0.83307,0.71809,0.73128,0.42064,1.6362,0.68519,0.93083,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,14241.6,1.12328,0.47437,0.81746,0.84608,0.7112,0.73094,0.42012,1.63706,0.68556,0.93069,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,14362.4,1.12019,0.47272,0.81599,0.84722,0.70852,0.73092,0.41995,1.63698,0.6861,0.93074,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,14483,1.11195,0.46967,0.81649,0.84927,0.70739,0.73084,0.42029,1.63724,0.6865,0.93115,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
