epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,15630.9,1.23309,0.54689,0.85037,0.82781,0.84597,0.83293,0.49644,1.56304,0.68521,0.91538,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,15841.9,1.23775,0.54919,0.84703,0.83302,0.84023,0.83307,0.49411,1.56284,0.68122,0.91406,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,16054.2,1.23098,0.54641,0.84513,0.82752,0.84578,0.8393,0.49748,1.56545,0.68162,0.91572,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,16267,1.22819,0.54572,0.84781,0.83163,0.83992,0.83484,0.49786,1.56754,0.68575,0.9173,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,16480.8,1.22207,0.54133,0.84629,0.83922,0.84291,0.84044,0.49984,1.57196,0.68447,0.91807,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,16693.6,1.21958,0.53889,0.84523,0.84761,0.84115,0.8424,0.50192,1.57324,0.68383,0.91865,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,16905.2,1.21991,0.53739,0.84598,0.83919,0.84966,0.84226,0.5014,1.5745,0.68372,0.91955,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,17113.6,1.21266,0.53486,0.84469,0.84439,0.84804,0.84003,0.5008,1.57451,0.68398,0.91847,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,17326.9,1.21088,0.53588,0.84256,0.82926,0.84917,0.83013,0.49401,1.57595,0.68506,0.91882,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,17538.1,1.19896,0.52833,0.84294,0.84051,0.84191,0.83327,0.49613,1.5772,0.68374,0.92005,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,17751.2,1.19634,0.52929,0.84386,0.84151,0.84415,0.83627,0.49879,1.57431,0.68165,0.92017,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,17962.5,1.19531,0.52664,0.8417,0.84564,0.84043,0.84103,0.5046,1.57166,0.68171,0.92007,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,18173,1.19239,0.52735,0.84014,0.84491,0.84248,0.84311,0.50549,1.56979,0.68084,0.9199,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,18385.4,1.1872,0.52375,0.83946,0.84075,0.84967,0.84485,0.50495,1.5704,0.68033,0.91929,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,18599.8,1.18904,0.52218,0.84037,0.84448,0.84923,0.84701,0.50572,1.57391,0.68023,0.92063,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,18810.4,1.181,0.51826,0.83859,0.84187,0.8492,0.84336,0.50336,1.57436,0.68021,0.92057,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,19022.1,1.17544,0.51814,0.83885,0.84082,0.84958,0.84154,0.50348,1.5731,0.68101,0.91992,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,19234.1,1.17335,0.51704,0.83814,0.84499,0.84868,0.8414,0.50335,1.57139,0.67923,0.91987,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,19444.8,1.1695,0.5153,0.83741,0.84246,0.851,0.84275,0.5045,1.57129,0.67899,0.91975,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,19656,1.16585,0.51335,0.83693,0.84289,0.84867,0.84222,0.50309,1.57331,0.67905,0.92015,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,19868.1,1.16156,0.51144,0.83475,0.84613,0.84665,0.83961,0.50185,1.57148,0.67937,0.92006,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
