epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2907.94,1.20773,0.55383,0.88545,0.80625,0.72144,0.7088,0.44898,1.52464,0.7092,1.0521,0.00018395,0.00018395,0.00018395
61,2980.55,1.20364,0.55243,0.88404,0.85918,0.69163,0.70418,0.44376,1.5103,0.74057,1.04764,0.000168237,0.000168237,0.000168237
62,3027.52,1.19915,0.55042,0.88246,0.8749,0.69022,0.71803,0.4558,1.51487,0.70087,1.04611,0.000152524,0.000152524,0.000152524
63,3075.88,1.19873,0.54727,0.88057,0.85036,0.6986,0.7105,0.46153,1.50871,0.70241,1.05424,0.000136812,0.000136812,0.000136812
64,3126.86,1.18238,0.53988,0.8812,0.74692,0.72954,0.72576,0.46508,1.51387,0.69633,1.05214,0.000121099,0.000121099,0.000121099
65,3176.1,1.18318,0.53878,0.87981,0.75862,0.73459,0.72297,0.46361,1.51197,0.68842,1.05083,0.000105386,0.000105386,0.000105386
66,3226.51,1.16904,0.53332,0.87502,0.88435,0.69941,0.71909,0.46441,1.5107,0.68825,1.05406,8.96736e-05,8.96736e-05,8.96736e-05
67,3277.83,1.17296,0.53661,0.87913,0.87703,0.69746,0.7187,0.46235,1.51268,0.69801,1.05122,7.39609e-05,7.39609e-05,7.39609e-05
68,3327.09,1.16618,0.52895,0.87702,0.87979,0.69165,0.71923,0.46076,1.51371,0.68832,1.05629,5.82481e-05,5.82481e-05,5.82481e-05
69,3376.84,1.15878,0.52869,0.87649,0.8787,0.69132,0.71731,0.46191,1.5081,0.68929,1.05771,4.25354e-05,4.25354e-05,4.25354e-05
70,3425.77,1.15246,0.52728,0.87548,0.71987,0.73319,0.71444,0.46252,1.50402,0.69412,1.05503,2.68227e-05,2.68227e-05,2.68227e-05
