epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1053.82,1.50561,0.73349,0.95167,0.89928,0.73946,0.76664,0.44435,1.64325,0.7933,1.04828,0.000912822,0.000912822,0.000912822
22,1104.71,1.49609,0.7221,0.94557,0.84184,0.77395,0.78108,0.45529,1.62294,0.81865,1.05003,0.000902913,0.000902913,0.000902913
23,1153.65,1.48916,0.72045,0.94376,0.84401,0.72453,0.74698,0.41841,1.68625,0.83534,1.04921,0.000893004,0.000893004,0.000893004
24,1201.22,1.47695,0.71292,0.93987,0.92521,0.75976,0.79227,0.45742,1.64187,0.78857,1.05282,0.000883095,0.000883095,0.000883095
25,1248.73,1.48364,0.71423,0.94334,0.85582,0.75733,0.77732,0.46856,1.59325,0.78038,1.04116,0.000873186,0.000873186,0.000873186
26,1296.74,1.4737,0.7074,0.94758,0.84651,0.76146,0.78312,0.4657,1.59614,0.78879,1.02585,0.000863277,0.000863277,0.000863277
27,1346.02,1.46492,0.69856,0.93842,0.87312,0.77392,0.79115,0.47805,1.61894,0.81699,1.03622,0.000853368,0.000853368,0.000853368
28,1395.92,1.44972,0.69507,0.9367,0.84118,0.77621,0.79039,0.46659,1.61478,0.783,1.05441,0.000843459,0.000843459,0.000843459
29,1444.35,1.43948,0.69496,0.93689,0.83828,0.76656,0.77699,0.4627,1.59331,0.77974,1.04149,0.00083355,0.00083355,0.00083355
30,1492.04,1.44141,0.68085,0.93274,0.88706,0.78582,0.79447,0.4736,1.59409,0.75968,1.03142,0.000823641,0.000823641,0.000823641
31,1538.81,1.42849,0.67793,0.92953,0.82488,0.7603,0.78691,0.46715,1.60594,0.76734,1.03689,0.000813732,0.000813732,0.000813732
32,1588.4,1.43741,0.68165,0.93162,0.85903,0.7652,0.7886,0.47155,1.55449,0.81214,1.02609,0.000803824,0.000803824,0.000803824
33,1637.44,1.4187,0.66765,0.92816,0.88372,0.75699,0.79334,0.46084,1.61496,0.74094,1.05541,0.000793915,0.000793915,0.000793915
34,1685.44,1.41913,0.67426,0.93138,0.84331,0.7799,0.78732,0.46763,1.56361,0.77715,1.03164,0.000784006,0.000784006,0.000784006
35,1734.98,1.4139,0.66534,0.92528,0.89803,0.75257,0.79652,0.46645,1.55817,0.75062,1.02356,0.000774097,0.000774097,0.000774097
36,1784.22,1.39056,0.66048,0.92647,0.87339,0.7784,0.79231,0.47038,1.58232,0.75994,1.04162,0.000764188,0.000764188,0.000764188
37,1830.79,1.39788,0.66346,0.92741,0.82246,0.78518,0.78473,0.45734,1.568,0.78038,1.04839,0.000754279,0.000754279,0.000754279
38,1878.46,1.4011,0.6631,0.92484,0.82677,0.77439,0.77484,0.45452,1.56563,0.75802,1.03907,0.00074437,0.00074437,0.00074437
39,1926.28,1.3833,0.65099,0.91513,0.86229,0.78196,0.79398,0.48658,1.54142,0.7376,1.04559,0.000734461,0.000734461,0.000734461
40,1975.26,1.37905,0.6461,0.92335,0.80982,0.78449,0.77321,0.46669,1.55311,0.76661,1.03149,0.000724552,0.000724552,0.000724552
41,2024.4,1.38611,0.65163,0.91965,0.85573,0.77755,0.7968,0.47809,1.5815,0.75553,1.05189,0.000714643,0.000714643,0.000714643
